Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,597.151611,604.811462,592.706787,602.160706,602.160706,50297067
2016-01-02,602.559937,604.556396,597.535339,599.704773,599.704773,41641656
2016-01-03,599.898499,600.126831,587.538269,596.511230,596.511230,54980007
2016-01-04,596.580627,603.804810,595.354065,603.425720,603.425720,53610701
2016-01-05,603.395020,603.730103,598.409729,604.052856,604.052856,48276404
2016-01-06,603.907410,603.950623,598.113770,603.579102,603.579102,47884181
2016-01-07,604.853455,646.997681,605.213074,645.893494,645.893494,123471458
2016-01-08,645.174316,651.162964,632.802002,642.090942,642.090942,80741983
2016-01-09,642.307678,644.088501,633.107666,634.130493,634.130493,45728243
2016-01-10,635.018799,635.119324,623.845276,635.385620,635.385620,51052985
2016-01-11,636.388367,638.768311,628.587463,637.619812,637.619812,57515855
2016-01-12,637.270020,637.180359,620.945374,620.945374,620.945374,164763096
2016-01-13,619.484558,620.009521,604.534180,620.409180,620.409180,249511891
2016-01-14,620.290039,622.469910,615.326660,617.058777,617.058777,63017847
2016-01-15,616.985657,617.157776,529.773682,529.773682,529.773682,222987701
2016-01-16,530.852661,567.908936,516.080444,563.516113,563.516113,175003843
2016-01-17,562.957764,568.502197,552.691772,557.353699,557.353699,66071445
2016-01-18,556.528564,562.983643,547.633240,563.135864,563.135864,79130473
2016-01-19,562.929321,561.045349,551.745300,553.610962,553.610962,68183675
2016-01-20,553.015320,616.211853,548.780090,608.030823,608.030823,176116668
2016-01-21,607.165527,610.972717,578.286743,585.361816,585.361816,97504658
2016-01-22,584.632751,585.696106,530.948975,539.810974,539.810974,129199717
2016-01-23,539.729065,556.818542,539.089783,546.866028,546.866028,79381956
2016-01-24,547.728333,573.436890,546.892883,569.881592,569.881592,77533232
2016-01-25,568.956665,568.473877,552.834595,560.129028,560.129028,84453326
2016-01-26,560.523682,566.856323,557.936401,553.563171,553.563171,82080305
2016-01-27,553.973938,559.747009,552.961121,556.752502,556.752502,66849434
2016-01-28,556.997803,557.697388,532.958069,533.773621,533.773621,83160352
2016-01-29,533.519592,541.051880,513.021484,530.163147,530.163147,120325651
2016-01-30,529.312256,532.179138,525.995544,528.460083,528.460083,42310335
2016-01-31,528.513123,531.382751,514.196533,515.241272,515.241272,52945916
2016-02-01,516.055847,530.850891,515.066223,520.562317,520.562317,72081759
2016-02-02,520.372559,528.792175,520.372559,526.548767,526.548767,56780528
2016-02-03,526.827209,526.542297,507.350037,510.270660,510.270660,63355939
2016-02-04,510.581024,538.343506,509.702362,535.925476,535.925476,95309139
2016-02-05,534.968079,537.519592,536.523438,537.882935,537.882935,60982488
2016-02-06,537.938599,537.997070,518.176514,523.930359,523.930359,68530401
2016-02-07,523.919250,529.981995,520.890259,522.936890,522.936890,51480443
2016-02-08,523.127075,526.854187,519.979614,520.099609,520.099609,66391541
2016-02-09,520.066223,524.560547,519.670654,521.890625,521.890625,76776546
2016-02-10,522.053040,535.628601,522.188049,531.369873,531.369873,118527747
2016-02-11,532.017334,533.316956,524.700195,528.212585,528.212585,103478772
2016-02-12,528.257141,535.317017,528.706909,532.012146,532.012146,92820757
2016-02-13,532.535461,542.530151,532.535461,542.530151,542.530151,85716749
2016-02-14,544.014343,563.443420,544.014343,563.443420,563.443420,103036415
2016-02-15,563.911072,567.639038,550.206177,553.095703,553.095703,102372833
2016-02-16,554.819153,566.511536,554.538147,564.615356,564.615356,101277805
2016-02-17,564.848145,578.135925,564.331421,569.403564,569.403564,113783887
2016-02-18,569.745483,582.890320,568.343384,580.171509,580.171509,105427371
2016-02-19,580.661926,581.641052,574.289001,579.126404,579.126404,76675462
2016-02-20,580.249451,608.302612,580.249451,601.668823,601.668823,129361322
2016-02-21,602.507019,616.645691,590.538696,605.014709,605.014709,123844787
2016-02-22,605.278076,604.960144,595.866943,599.846069,599.846069,117003340
2016-02-23,600.540833,603.485168,574.879944,580.279053,580.279053,117569761
2016-02-24,580.582520,583.769470,571.108887,582.315796,582.315796,92829187
2016-02-25,582.428162,586.060547,576.473083,574.917480,574.917480,95874652
2016-02-26,575.032593,583.794128,570.494019,583.794128,583.794128,83061437
2016-02-27,584.722168,586.602661,578.324341,584.289917,584.289917,56594064
2016-02-28,584.360168,588.564209,572.538452,587.354553,587.354553,71854954
2016-02-29,587.265137,598.771790,584.814514,592.510437,592.510437,82162415
2016-03-01,592.808228,594.938477,582.938965,584.239624,584.239624,100562591
2016-03-02,584.250427,584.782654,569.332458,569.332458,569.332458,100649971
2016-03-03,569.229004,572.339355,562.346313,565.138855,565.138855,134678705
2016-03-04,565.386780,570.461365,547.083069,547.083069,547.083069,120956721
2016-03-05,546.872742,547.506409,524.578796,533.278870,533.278870,180238040
2016-03-06,533.218933,548.371826,526.899292,543.677307,543.677307,121631863
2016-03-07,543.743958,552.587341,542.097473,550.508362,550.508362,113952501
2016-03-08,550.699646,554.768677,547.248352,555.302002,555.302002,94316109
2016-03-09,555.197449,550.535156,552.169434,549.482056,549.482056,92731297
2016-03-10,549.328430,557.169739,547.970825,556.285889,556.285889,108052134
2016-03-11,556.428589,560.981262,555.544739,556.799500,556.799500,97669587
2016-03-12,556.687256,556.938110,541.488098,543.508301,543.508301,122418108
2016-03-13,543.540039,550.083923,543.532104,548.015015,548.015015,98366226
2016-03-14,548.195007,551.731262,548.070740,552.696472,552.696472,126428276
2016-03-15,552.630127,555.947021,555.332886,556.676453,556.676453,89186960
2016-03-16,556.753906,558.195557,556.074341,546.993286,546.993286,85504214
2016-03-17,548.145020,546.580444,548.019653,546.092224,546.092224,108445181
2016-03-18,545.996155,546.290527,528.830994,532.371460,532.371460,136411506
2016-03-19,532.003601,534.238098,529.358276,533.536133,533.536133,75944058
2016-03-20,533.480286,539.219788,533.480286,539.784790,539.784790,59943630
2016-03-21,539.345093,539.634521,535.629272,540.977539,540.977539,80700753
2016-03-22,540.748474,546.983459,539.590576,545.564331,545.564331,87184675
2016-03-23,545.658325,553.685303,550.419678,552.106750,552.106750,81149355
2016-03-24,552.612610,553.662415,550.685120,551.597168,551.597168,90538879
2016-03-25,551.748169,554.290466,550.780579,553.719055,553.719055,69762888
2016-03-26,553.968567,556.121460,552.500549,554.738403,554.738403,59264476
2016-03-27,554.997253,569.142273,554.427795,566.359863,566.359863,94528537
2016-03-28,566.071838,565.244019,558.408142,558.881897,558.881897,90271937
2016-03-29,558.978088,561.948669,543.377075,544.053162,544.053162,98502507
2016-03-30,544.468567,544.010071,536.739807,538.223755,538.223755,85679245
2016-03-31,538.795959,543.837830,538.463745,541.289307,541.289307,78213523
2016-04-01,541.329590,547.304810,540.871399,543.515198,543.515198,66626904
2016-04-02,544.115967,548.874146,544.115967,547.303223,547.303223,59403832
2016-04-03,547.693359,548.222595,546.949097,548.648376,548.648376,49602998
2016-04-04,549.163269,551.453247,547.705200,550.995911,550.995911,66199284
2016-04-05,550.437622,557.346436,551.004333,557.175415,557.175415,79783452
2016-04-06,557.509155,557.403992,553.732727,553.866516,553.866516,77296937
2016-04-07,554.137329,557.405518,549.617004,555.486938,555.486938,76026200
2016-04-08,555.699829,556.669922,544.812134,545.612976,545.612976,82364201
2016-04-09,546.212708,546.316528,540.636475,544.395508,544.395508,64630925
2016-04-10,544.630432,548.447327,544.195557,547.063599,547.063599,95353179
2016-04-11,547.463318,548.799805,546.356445,545.341064,545.341064,65504873
2016-04-12,545.805725,550.760071,545.974854,542.840088,542.840088,90299459
